num_distr	mouse.time	mouse.clicked_name				RT	
10	[2.3140288750000764]	['target']		2.3140288750000764		2.314028875	avgforten
5	[1.3898595829959959]	['target']		1.3898595829959959		1.389859583	
10	[2.9308983749942854]	['target']		2.9308983749942854		2.930898375	2.180283795
5	[2.2352141669980483]	['target']		2.2352141669980483		2.235214167	
10	[1.864263541996479]	['target']		1.864263541996479		1.864263542	
10	[1.601744499988854]	['target']		1.601744499988854		1.6017445	
5	[1.5781585840013577]	['target']		1.5781585840013577		1.578158584	
10	[2.087053957991884]	['target']		2.087053957991884		2.087053958	
10	[3.7318791249999776]	['target']		3.7318791249999776		3.731879125	
10	[3.502516499997]	['target']		3.502516499997		3.5025165	
5	[1.901952625004924]	['target']		1.901952625004924		1.901952625	
5	[1.885780042008264]	['target']		1.885780042008264		1.885780042	
5	[1.687984125004732]	['target']		1.687984125004732		1.687984125	
5	[1.7871910829999251]	['target']		1.7871910829999251		1.787191083	
10	[2.0069859579962213]	['target']		2.0069859579962213		2.006985958	
5	[2.2087863329943502]	['target']		2.2087863329943502		2.208786333	
5	[1.7702938329894096]	['target']		1.7702938329894096		1.770293833	
10	[1.8070512499980396]	['target']		1.8070512499980396		1.80705125	
10	[1.235859291991801]	['target']		1.235859291991801		1.235859292	
5	[1.301334499992663]	['target']		1.301334499992663		1.3013345	
5	[1.2536523750022752]	['target']		1.2536523750022752		1.253652375	
10	[1.6072108749940526]	['target']		1.6072108749940526		1.607210875	
5	[1.208637749994523]	['target']		1.208637749994523		1.20863775	
5	[4.220238583991886]	['target']		4.220238583991886		4.220238584	
5	[2.122462875006022]	['target']		2.122462875006022		2.122462875	
5	[1.7975057080038823]	['target']		1.7975057080038823		1.797505708	
10	[3.2317639579996467]	['target']		3.2317639579996467		3.231763958	
10	[2.745756584001356]	['target']		2.745756584001356		2.745756584	
5	[1.9009231249947334]	['target']		1.9009231249947334		1.900923125	
5	[3.436619874992175]	['target']		3.436619874992175		3.436619875	
10	[3.0648642080050195]	['target']		3.0648642080050195		3.064864208	
10	[1.8882812920055585]	['target']		1.8882812920055585		1.888281292	
10	[2.2789136659994256]	['target']		2.2789136659994256		2.278913666	
10	[1.7042357080063084]	['target']		1.7042357080063084		1.704235708	
5	[2.1840464169945335]	['target']		2.1840464169945335		2.184046417	
5	[1.803634666997823]	['target']		1.803634666997823		1.803634667	
5	[2.5366498340008548]	['target']		2.5366498340008548		2.536649834	
5	[2.4872529580025002]	['target']		2.4872529580025002		2.487252958	
5	[1.6531527079932857]	['target']		1.6531527079932857		1.653152708	
5	[3.3867903750069672]	['target']		3.3867903750069672		3.386790375	
5	[3.037811874994077]	['target']		3.037811874994077		3.037811875	
5	[2.2038851670076838]	['target']		2.2038851670076838		2.203885167	
10	[2.230974000005517]	['target']		2.230974000005517		2.230974	
10	[1.9882352499989793]	['target']		1.9882352499989793		1.98823525	
10	[5.302871040999889]	['target']		5.302871040999889		5.302871041	
10	[2.212634583003819]	['target']		2.212634583003819		2.212634583	
5	[1.9678260840009898]	['target']		1.9678260840009898		1.967826084	
5	[1.3371773329999996]	['target']		1.3371773329999996		1.337177333	
5	[1.553214957995806]	['target']		1.553214957995806		1.553214958	
10	[1.5734710420074407]	['target']		1.5734710420074407		1.573471042	
10	[2.412881708005443]	['target']		2.412881708005443		2.412881708	
10	[2.103495917006512]	['target']		2.103495917006512		2.103495917	
10	[2.5893547920131823]	['target']		2.5893547920131823		2.589354792	
10	[2.2787937499961117]	['target']		2.2787937499961117		2.27879375	
10	[1.3462054999981774]	['target']		1.3462054999981774		1.3462055	
10	[1.4698363750067074]	['target']		1.4698363750067074		1.469836375	
5	[2.434774749999633]	['target']		2.434774749999633		2.43477475	
10	[2.907528541996726]	['target']		2.907528541996726		2.907528542	
5	[2.3412103749869857]	['target']		2.3412103749869857		2.341210375	
10	[1.465346041994053]	['target']		1.465346041994053		1.465346042	
5	[1.6838557080045575]	['target']		1.6838557080045575		1.683855708	
10	[2.640300749990274]	['target']		2.640300749990274		2.64030075	
5	[1.626547791005578]	['target']		1.626547791005578		1.626547791	
5	[2.003706499992404]	['target']		2.003706499992404		2.0037065	
10	[3.134646791993873]	['target']		3.134646791993873		3.134646792	
5	[1.258124707994284]	['target']		1.258124707994284		1.258124708	
10	[1.7649309999978868]	['target']		1.7649309999978868		1.764931	
10	[2.4455594579922035]	['target']		2.4455594579922035		2.445559458	
10	[2.9885528330050875]	['target']		2.9885528330050875		2.988552833	
5	[2.4420283749932423]	['target']		2.4420283749932423		2.442028375	
10	[2.640695209003752]	['target']		2.640695209003752		2.640695209	
5	[1.607303459008108]	['target']		1.607303459008108		1.607303459	
5	[1.686904542002594]	['target']		1.686904542002594		1.686904542	
10	[2.265805207993253]	['target']		2.265805207993253		2.265805208	
10	[1.6114121249993332]	['target']		1.6114121249993332		1.611412125	
5	[1.952199749997817]	['target']		1.952199749997817		1.95219975	
10	[1.3313297499989858]	['target']		1.3313297499989858		1.33132975	
10	[2.2118645000009565]	['target']		2.2118645000009565		2.2118645	
5	[1.4009491659962805]	['target']		1.4009491659962805		1.400949166	
5	[1.4042841250047786]	['target']		1.4042841250047786		1.404284125	
10	[2.530689416002133]	['target']		2.530689416002133		2.530689416	
10	[2.188667082999018]	['target']		2.188667082999018		2.188667083	
10	[1.4470521670009475]	['target']		1.4470521670009475		1.447052167	
10	[1.8119260419916827]	['target']		1.8119260419916827		1.811926042	
5	[1.8592671249934938]	['target']		1.8592671249934938		1.859267125	
10	[3.1971870830020634]	['target']		3.1971870830020634		3.197187083	
10	[2.9886242500069784]	['target']		2.9886242500069784		2.98862425	
10	[1.3696689579956]	['target']		1.3696689579956		1.369668958	
10	[2.254813291001483]	['target']		2.254813291001483		2.254813291	
10	[1.2793273340066662]	['target']		1.2793273340066662		1.279327334	
10	[1.5034207080025226]	['target']		1.5034207080025226		1.503420708	
5	[1.9676934580056695]	['target']		1.9676934580056695		1.967693458	
10	[2.0404849579936126]	['target']		2.0404849579936126		2.040484958	
5	[1.7925424169952748]	['target']		1.7925424169952748		1.792542417	
10	[3.397325792000629]	['target']		3.397325792000629		3.397325792	
10	[1.5058516249991953]	['target']		1.5058516249991953		1.505851625	
10	[1.8701100000034785]	['target']		1.8701100000034785		1.87011	
10	[2.2106907090055756]	['target']		2.2106907090055756		2.210690709	
10	[2.489233374988544]	['target']		2.489233374988544		2.489233375	
10	[1.8462547499948414]	['target']		1.8462547499948414		1.84625475	
10	[2.2115839579928434]	['target']		2.2115839579928434		2.211583958	
10	[2.9462819999898784]	['target']		2.9462819999898784		2.946282	
5	[1.7264119159954134]	['target']		1.7264119159954134		1.726411916	
5	[2.0032365000079153]	['target']		2.0032365000079153		2.0032365	
5	[2.3374588750011753]	['target']		2.3374588750011753		2.337458875	
10	[1.8966616669931682]	['target']		1.8966616669931682		1.896661667	
10	[1.8219937500107335]	['target']		1.8219937500107335		1.82199375	
10	[3.6462073330039857]	['target']		3.6462073330039857		3.646207333	
10	[4.202975249994779]	['target']		4.202975249994779		4.20297525	
10	[1.6118580419861246]	['target']		1.6118580419861246		1.611858042	
10	[3.5121617499971762]	['target']		3.5121617499971762		3.51216175	
10	[1.1452497499994934]	['target']		1.1452497499994934		1.14524975	
10	[9.579209707997506]	['target']		9.579209707997506		9.579209708	
5	[1.5676944169972558]	['target']		1.5676944169972558		1.567694417	
10	[2.2412064999953145]	['target']		2.2412064999953145		2.2412065	
10	[1.4460743329982506]	['target']		1.4460743329982506		1.446074333	
10	[5.646473624990904]	['target']		5.646473624990904		5.646473625	
10	[2.0789001250086585]	['target']		2.0789001250086585		2.078900125	
5	[2.1425078329921234]	['target']		2.1425078329921234		2.142507833	
10	[1.707244791003177]	['target']		1.707244791003177		1.707244791	
5	[1.442355959006818]	['target']		1.442355959006818		1.442355959	
5	[1.537086750002345]	['target']		1.537086750002345		1.53708675	
5	[2.303789625002537]	['target']		2.303789625002537		2.303789625	
5	[1.402576084001339]	['target']		1.402576084001339		1.402576084	
5	[1.6212508750031702]	['target']		1.6212508750031702		1.621250875	
5	[1.3029740829952061]	['target']		1.3029740829952061		1.302974083	
5	[1.4371594169933815]	['target']		1.4371594169933815		1.437159417	
5	[1.2373981249984354]	['target']		1.2373981249984354		1.237398125	
10	[1.4656754169991473]	['target']		1.4656754169991473		1.465675417	
5	[2.100847166002495]	['target']		2.100847166002495		2.100847166	
10	[2.5975119160139]	['target']		2.5975119160139		2.597511916	
10	[1.822083000006387]	['target']		1.822083000006387		1.822083	
10	[1.9363630000007106]	['target']		1.9363630000007106		1.936363	
10	[1.3461423749977257]	['target']		1.3461423749977257		1.346142375	
10	[1.678123500008951]	['target']		1.678123500008951		1.6781235	
5	[1.2185205000132555]	['target']		1.2185205000132555		1.2185205	
10	[2.0403572499926668]	['target']		2.0403572499926668		2.04035725	
5	[1.5593153750087367]	['target']		1.5593153750087367		1.559315375	
10	[2.3649042080069194]	['target']		2.3649042080069194		2.364904208	
10	[1.4115722920105327]	['target']		1.4115722920105327		1.411572292	
5	[1.4174146669975016]	['target']		1.4174146669975016		1.417414667	
10	[2.3982520830031717]	['target']		2.3982520830031717		2.398252083	
10	[1.7463664579991018]	['target']		1.7463664579991018		1.746366458	
5	[1.401349374995334]	['target']		1.401349374995334		1.401349375	
10	[2.707872708007926]	['target']		2.707872708007926		2.707872708	
5	[1.992051207998884]	['target']		1.992051207998884		1.992051208	
10	[1.9077942080039065]	['target']		1.9077942080039065		1.907794208	
10	[2.102398708986584]	['target']		2.102398708986584		2.102398709	
5	[1.3016561249969527]	['target']		1.3016561249969527		1.301656125	
10	[1.4065467499895021]	['target']		1.4065467499895021		1.40654675	
5	[1.6764681250060676]	['target']		1.6764681250060676		1.676468125	
5	[1.7366985419939738]	['target']		1.7366985419939738		1.736698542	
5	[2.1206179590080865]	['target']		2.1206179590080865		2.120617959	
10	[2.4981911659997422]	['target']		2.4981911659997422		2.498191166	
5	[1.901745250012027]	['target']		1.901745250012027		1.90174525	
10	[1.597305041999789]	['target']		1.597305041999789		1.597305042	
10	[2.4549613340059295]	['target']		2.4549613340059295		2.454961334	
10	[1.6467689999990398]	['target']		1.6467689999990398		1.646769	
10	[1.4789810410002246]	['target']		1.4789810410002246		1.478981041	
10	[5.069475417010835]	['target']		5.069475417010835		5.069475417	
10	[2.912049125006888]	['target']		2.912049125006888		2.912049125	
5	[2.0850412500003586]	['target']		2.0850412500003586		2.08504125	
5	[2.820364042010624]	['target']		2.820364042010624		2.820364042	
10	[2.8639941250003176]	['target']		2.8639941250003176		2.863994125	
10	[2.9561655420111492]	['target']		2.9561655420111492		2.956165542	
10	[1.4459824999939883]	['target']		1.4459824999939883		1.4459825	
5	[1.4085389159881743]	['target']		1.4085389159881743		1.408538916	
10	[2.507394041007501]	['target']		2.507394041007501		2.507394041	
10	[2.0357475829951]	['target']		2.0357475829951		2.035747583	
5	[1.5354577919933945]	['target']		1.5354577919933945		1.535457792	
10	[3.7975765829905868]	['target']		3.7975765829905868		3.797576583	
5	[1.9847566669923253]	['target']		1.9847566669923253		1.984756667	
10	[2.197414124995703]	['target']		2.197414124995703		2.197414125	
10	[1.7457989579997957]	['target']		1.7457989579997957		1.745798958	
5	[1.966897374994005]	['target']		1.966897374994005		1.966897375	
10	[1.974730041998555]	['target']		1.974730041998555		1.974730042	
5	[3.1090187919908203]	['target']		3.1090187919908203		3.109018792	
5	[1.4202819999918574]	['target']		1.4202819999918574		1.420282	
5	[2.1372612080012914]	['target']		2.1372612080012914		2.137261208	
10	[1.9972240420029266]	['target']		1.9972240420029266		1.997224042	
10	[2.3898062920052325]	['target']		2.3898062920052325		2.389806292	
10	[1.802012084008311]	['target']		1.802012084008311		1.802012084	
10	[2.3786568329960573]	['target']		2.3786568329960573		2.378656833	
5	[1.8177855420071865]	['target']		1.8177855420071865		1.817785542	
10	[2.2647932920081075]	['target']		2.2647932920081075		2.264793292	
10	[4.278727207987686]	['target']		4.278727207987686		4.278727208	
10	[2.8119834170065587]	['target']		2.8119834170065587		2.811983417	
5	[2.3021093329880387]	['target']		2.3021093329880387		2.302109333	
10	[3.7642834580037743]	['target']		3.7642834580037743		3.764283458	
5	[2.017522916998132]	['target']		2.017522916998132		2.017522917	
5	[2.5701068749913247]	['target']		2.5701068749913247		2.570106875	
10	[1.8318927090003854]	['target']		1.8318927090003854		1.831892709	
10	[2.878745042005903]	['target']		2.878745042005903		2.878745042	
5	[1.5847857499902602]	['target']		1.5847857499902602		1.58478575	
5	[1.9701049580035033]	['target']		1.9701049580035033		1.970104958	
5	[2.104346375010209]	['target']		2.104346375010209		2.104346375	
10	[2.1974408749956638]	['target']		2.1974408749956638		2.197440875	
10	[1.9554259170108708]	['target']		1.9554259170108708		1.955425917	
5	[2.1255408330034697]	['target']		2.1255408330034697		2.125540833	
10	[1.7074647910048952]	['target']		1.7074647910048952		1.707464791	
						2.314029	
